study_id,study_name,llm_results,llm_recall_overall,llm_recall_pubmed,llm_precision,llm_nnr,human_results,human_recall_overall,human_recall_pubmed,human_precision,human_nnr,precision_diff,precision_relative_change,winner
34,Lu 2022,4237,0.8333,1.0000,0.0024,423.70,1728,0.7500,0.9000,0.0052,192.00,-0.0028,0.45,llm
43,Zou 2024,47129,0.0909,0.0909,0.0000,23564.50,384,0.9091,0.9091,0.0521,19.20,-0.0520,0.00,human
76,Passone 2020,796,0.9167,1.0000,0.0415,24.12,496,0.8889,0.9697,0.0645,15.50,-0.0231,0.64,human
77,Bjursell 2025,7881,0.0714,1.0000,0.0001,7881.00,994,0.0714,1.0000,0.0010,994.00,-0.0009,0.13,tie
88,Van Raath 2020,1081,0.8690,0.8795,0.0675,14.81,2414,0.9286,0.9398,0.0323,30.95,0.0352,2.09,human
92,Pitesa 2025,385,0.7778,0.8750,0.0364,27.50,335,0.7778,0.8750,0.0418,23.93,-0.0054,0.87,tie
101,Xiao 2025,874,0.9333,0.9333,0.0160,62.43,32,0.9333,0.9333,0.4375,2.29,-0.4215,0.04,human
110,Demb 2024,1586,0.3974,0.4247,0.0195,51.16,10439,0.9231,0.9863,0.0069,144.99,0.0126,2.83,human
118,Shiha 2024,8449,0.7500,0.7500,0.0014,704.08,231,0.8750,0.8750,0.0606,16.50,-0.0592,0.02,human
131,Kanjee 2024,,,,,,271,0.9000,0.9000,0.0996,10.04,,,incomplete
143,Boggiss 2020,4426,0.4118,0.5833,0.0016,632.29,1714,0.6471,0.9167,0.0064,155.82,-0.0048,0.25,human
146,Taylor 2015,,,,,,3109,0.0000,0.0000,0.0000,inf,,,incomplete
151,Moiz 2025,5397,0.6538,0.6538,0.0031,317.47,1014,0.1923,0.1923,0.0049,202.80,-0.0018,0.64,llm
154,Khamar 2024,556,0.8519,0.9583,0.0414,24.17,187,0.3704,0.4167,0.0535,18.70,-0.0121,0.77,llm
